timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
1767484800000,90628.01,90956.56,90628.0,90932.4,150.4128,1767485099999,13657472.7644729,20056,124.80807,11331883.724664,0
1767485100000,90932.4,91610.17,90930.88,91253.41,883.97241,1767485399999,80722782.812455,97421,469.07335,42814493.2195112,0
1767485400000,91253.4,91475.5,91253.4,91399.99,121.72273,1767485699999,11122522.3065621,32744,83.76434,7653525.9224075,0
1767485700000,91399.99,91448.0,91120.03,91195.13,158.33726,1767485999999,14453113.2080022,34705,36.52403,3336012.3401559,0
1767486000000,91195.12,91295.11,91146.46,91283.39,80.02706,1767486299999,7300163.4673779,26698,44.96338,4101685.8787233,0
1767486300000,91283.39,91283.39,91096.27,91098.32,53.84787,1767486599999,4910564.1524269,18983,18.65389,1701261.1726427,0
1767486600000,91098.32,91255.98,91077.27,91240.87,60.76721,1767486899999,5539305.3256425,19760,37.13026,3384537.1226355,0
1767486900000,91240.87,91240.87,91064.75,91073.07,39.99351,1767487199999,3645146.7241676,18372,8.9662,817048.9739658,0
1767487200000,91073.06,91182.72,91059.03,91165.87,29.93378,1767487499999,2728050.4629275,8643,14.50716,1321998.0148922,0
1767487500000,91165.86,91300.0,91118.0,91272.7,62.14979,1767487799999,5669710.3058874,14770,39.69517,3621248.6719928,0
1767487800000,91272.69,91350.0,91189.13,91349.99,48.0638,1767488099999,4386190.863385,13539,26.47635,2416796.0378562,0
1767488100000,91350.0,91461.53,91323.99,91341.47,48.41476,1767488399999,4423869.9452992,16506,21.94457,2005213.0121168,0
1767488400000,91341.48,91453.3,91280.78,91453.29,37.56709,1767488699999,3431289.8760589,14663,21.8913,1999734.1099061,0
1767488700000,91453.29,91475.52,91369.99,91395.58,30.19766,1767488999999,2760829.913668,11384,18.4339,1685292.4162404,0
1767489000000,91395.57,91414.51,91284.3,91284.31,23.181,1767489299999,2117313.4102664,11636,10.08789,921507.7909092,0
1767489300000,91284.31,91311.69,91143.86,91143.86,48.05599,1767489599999,4383464.2220801,15022,6.91084,630421.4146466,0
1767489600000,91143.87,91274.1,91102.24,91177.56,40.68317,1767489899999,3709471.8766094,16567,21.67989,1976735.9933981,0
1767489900000,91177.56,91177.56,91120.0,91132.01,15.66677,1767490199999,1427834.1429251,6581,9.722,886004.8849604,0
1767490200000,91132.01,91140.48,91094.0,91095.0,13.91422,1767490499999,1267766.0993781,8237,5.08879,463617.4545547,0
1767490500000,91095.0,91150.0,91058.43,91150.0,39.00424,1767490799999,3553084.8375082,5883,30.32758,2762749.1656944,0
1767490800000,91150.0,91168.0,91009.99,91081.52,29.92654,1767491099999,2725284.5535978,13967,11.68749,1064259.9902292,0
1767491100000,91081.52,91115.09,91005.37,91033.99,27.23188,1767491399999,2479974.6910667,12008,9.32533,849299.5828463,0
1767491400000,91034.0,91182.27,91016.27,91178.0,27.26193,1767491699999,2483312.0193058,8525,17.65567,1608539.6450171,0
1767491700000,91178.0,91254.99,91177.99,91235.37,42.572,1767491999999,3883638.185898,9030,29.79049,2717480.7617141,0
1767492000000,91235.37,91292.0,91144.0,91177.34,22.78953,1767492299999,2079329.6497389,9967,10.4458,953085.5790221,0
1767492300000,91177.34,91182.72,91141.4,91147.3,28.99036,1767492599999,2642832.8727664,4667,8.84986,806745.4601276,0
1767492600000,91147.3,91147.3,91108.03,91125.88,19.10722,1767492899999,1741150.9642097,3062,13.45034,1225635.6973677,0
1767492900000,91125.87,91182.72,91125.87,91160.0,10.56814,1767493199999,963331.5688871,8896,6.04926,551405.4535967,0
1767493200000,91160.0,91225.28,91160.0,91182.07,11.24666,1767493499999,1025633.427426,4672,4.90322,447179.4807064,0
1767493500000,91182.07,91207.61,91182.06,91207.6,10.60706,1767493799999,967300.9595428,4210,7.05357,643245.0063568,0
1767493800000,91207.6,91225.27,91156.0,91224.99,27.61103,1767494099999,2518257.7950061,7145,13.66028,1245732.7054596,0
1767494100000,91224.99,91266.99,91208.85,91208.86,25.28173,1767494399999,2306659.2304944,6275,14.39554,1313412.2264419,0
1767494400000,91208.86,91256.12,91147.01,91163.52,19.71684,1767494699999,1798372.0742624,5247,6.42498,586045.6411726,0
1767494700000,91163.51,91174.85,91080.06,91094.58,14.9232,1767494999999,1359692.7363051,6762,5.29574,482484.0520674,0
1767495000000,91094.58,91154.3,91086.45,91113.5,53.67062,1767495299999,4889779.4290099,6021,19.81906,1805573.5752168,0
1767495300000,91113.49,91124.0,91098.59,91124.0,33.77701,1767495599999,3077412.1541499,4689,19.69215,1794131.976608,0
1767495600000,91124.0,91199.37,91123.99,91199.36,20.12478,1767495899999,1834840.9398076,5776,15.42783,1406568.5038474,0
1767495900000,91199.37,91236.49,91164.9,91182.71,47.68091,1767496199999,4348608.5396561,5607,10.40962,949380.0215187,0
1767496200000,91182.71,91350.0,91182.7,91338.6,63.34559,1767496499999,5782962.5045864,11101,57.14238,5216542.0518884,0
1767496500000,91338.59,91338.59,91236.7,91294.86,16.59857,1767496799999,1515087.0411776,8564,10.05258,917496.4639892,0
1767496800000,91294.86,91322.24,91256.87,91269.45,19.32822,1767497099999,1764447.4194581,5973,8.91672,814040.0481182,0
1767497100000,91269.46,91287.52,91144.24,91168.07,42.10613,1767497399999,3840332.672078,7034,6.1833,563982.3275406,0
1767497400000,91168.07,91179.87,91080.06,91098.66,28.26861,1767497699999,2576207.9509567,7000,6.37554,581006.4511426,0
1767497700000,91098.65,91224.0,91098.65,91213.13,20.66373,1767497999999,1883937.163355,9372,15.15525,1381562.5632173,0
