timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
1767484800000,3127.11,3135.95,3126.35,3133.91,967.3372,1767485099999,3028805.001585,15895,678.8633,2125685.988832,0
1767485100000,3133.91,3159.0,3133.36,3144.89,11644.1702,1767485399999,36631385.388693,71610,8383.4695,26367726.22941,0
1767485400000,3144.89,3152.34,3144.75,3147.97,1619.1489,1767485699999,5098675.762821,35169,912.6115,2873594.051902,0
1767485700000,3147.98,3150.27,3139.27,3141.39,1281.343,1767485999999,4029452.986346,30860,556.6479,1751016.406231,0
1767486000000,3141.4,3145.96,3140.2,3145.1,680.1431,1767486299999,2137549.351915,19331,419.0044,1316842.55009,0
1767486300000,3145.09,3145.09,3139.95,3139.96,1763.6504,1767486599999,5543721.90843,13688,1066.8506,3353366.733931,0
1767486600000,3139.95,3153.09,3139.76,3151.21,4873.5843,1767486899999,15339783.371505,21511,2760.6679,8688093.54787,0
1767486900000,3151.21,3152.05,3143.92,3144.42,544.7376,1767487199999,1714420.235621,14429,237.7107,747878.626909,0
1767487200000,3144.42,3147.56,3143.66,3146.05,363.5481,1767487499999,1143368.818412,9456,231.3915,727703.673718,0
1767487500000,3146.04,3150.84,3144.77,3148.9,612.8707,1767487799999,1929263.060509,13358,279.638,880327.675358,0
1767487800000,3148.91,3154.29,3147.15,3153.77,621.0483,1767488099999,1956447.022895,7498,398.0819,1254195.374762,0
1767488100000,3153.76,3167.22,3153.52,3157.75,3777.2459,1767488399999,11940473.941952,27520,2555.9597,8078966.464579,0
1767488400000,3157.75,3161.42,3152.63,3161.32,1202.8567,1767488699999,3797037.589302,16138,522.1275,1648326.174252,0
1767488700000,3161.32,3162.33,3157.64,3158.1,735.2416,1767488999999,2323622.986038,10095,530.4378,1676453.974808,0
1767489000000,3158.09,3158.9,3155.88,3157.03,503.9068,1767489299999,1590882.71427,8163,163.07,514783.948885,0
1767489300000,3157.04,3158.95,3150.0,3150.0,967.4359,1767489599999,3052036.504565,15188,513.1368,1619262.397017,0
1767489600000,3150.0,3153.75,3147.64,3151.11,816.7683,1767489899999,2573681.233083,14071,424.5697,1338122.952911,0
1767489900000,3151.12,3151.61,3147.04,3148.51,702.5958,1767490199999,2212654.993165,6794,264.6288,833386.51056,0
1767490200000,3148.52,3151.18,3146.2,3148.11,350.8447,1767490499999,1104607.230798,9066,159.2073,501212.214672,0
1767490500000,3148.12,3149.7,3146.01,3149.7,251.6294,1767490799999,791811.52261,6041,146.9078,462278.973827,0
1767490800000,3149.7,3150.99,3144.42,3146.4,433.8928,1767491099999,1365783.930908,12115,242.9443,764770.066802,0
1767491100000,3146.41,3147.31,3141.5,3143.0,461.8076,1767491399999,1452095.00011,9548,122.1032,383974.309168,0
1767491400000,3143.0,3148.21,3142.82,3148.2,944.1747,1767491699999,2969739.023998,9678,683.7058,2150324.253319,0
1767491700000,3148.21,3152.35,3148.2,3150.17,633.9871,1767491999999,1997571.639788,7894,492.1342,1550625.343876,0
1767492000000,3150.17,3151.02,3146.55,3147.98,425.4133,1767492299999,1339770.087299,10574,196.3258,618231.376224,0
1767492300000,3147.98,3148.61,3143.54,3144.11,603.0402,1767492599999,1896617.591523,8515,135.8571,427245.29526,0
1767492600000,3144.1,3144.1,3140.12,3142.24,1037.1184,1767492899999,3257902.878039,5518,322.1714,1012146.940668,0
1767492900000,3142.24,3145.99,3142.24,3143.87,589.4636,1767493199999,1853509.625279,7404,393.7554,1238135.353061,0
1767493200000,3143.88,3146.53,3143.88,3145.73,198.5814,1767493499999,624665.838732,4923,150.8712,474575.769044,0
1767493500000,3145.73,3146.84,3145.53,3146.59,180.1777,1767493799999,566889.67718,3075,68.4501,215348.996337,0
1767493800000,3146.6,3147.98,3144.37,3147.98,296.751,1767494099999,933707.339484,6872,168.3337,529650.639848,0
1767494100000,3147.97,3148.89,3146.41,3146.41,187.899,1767494399999,591469.706364,5466,113.8159,358261.555025,0
1767494400000,3146.42,3147.34,3142.57,3142.78,759.3698,1767494699999,2388528.627571,5609,147.358,463573.16324,0
1767494700000,3142.79,3143.55,3138.53,3140.18,656.5834,1767494999999,2062187.542839,7826,180.2572,566178.786824,0
1767495000000,3140.17,3141.19,3139.57,3139.57,278.465,1767495299999,874417.355018,4002,99.2491,311670.134246,0
1767495300000,3139.57,3141.12,3137.6,3141.12,393.3548,1767495599999,1234846.498798,5168,160.6631,504361.733614,0
1767495600000,3141.12,3143.19,3140.96,3141.29,247.1154,1767495899999,776410.722182,5045,154.3174,484834.329944,0
1767495900000,3141.3,3142.88,3140.01,3141.8,328.8758,1767496199999,1033271.066116,7223,143.2602,450046.323969,0
1767496200000,3141.8,3150.41,3141.8,3148.73,755.2131,1767496499999,2377677.719812,12221,575.6759,1812311.519626,0
1767496500000,3148.72,3149.09,3145.99,3149.08,307.6693,1767496799999,968268.381783,8801,131.4144,413599.476816,0
1767496800000,3149.09,3150.58,3146.0,3146.53,268.1947,1767497099999,844357.287511,7374,190.6873,600314.893901,0
1767497100000,3146.54,3148.09,3143.18,3143.2,565.5115,1767497399999,1778942.716439,5933,153.5933,483257.35711,0
1767497400000,3143.21,3145.35,3141.72,3142.91,1271.6076,1767497699999,3996606.341999,9978,359.3016,1129262.163742,0
1767497700000,3142.91,3146.01,3142.64,3144.72,262.8348,1767497999999,826493.140385,7674,160.0427,503219.060468,0
1767498000000,3144.73,3148.22,3144.72,3147.8,632.9903,1767498299999,1992213.419038,5237,425.8571,1340305.932967,0
1767498300000,3147.8,3150.5,3147.79,3148.97,414.4841,1767498599999,1305257.040673,8074,199.1076,626982.564336,0
1767498600000,3148.96,3150.86,3148.27,3150.76,378.4818,1767498899999,1192155.622093,5630,250.0474,787590.487534,0
1767498900000,3150.75,3150.75,3147.35,3147.36,521.5405,1767499199999,1642745.247984,6222,299.2167,942494.575797,0
1767499200000,3147.36,3147.9,3146.16,3147.9,336.7367,1767499499999,1059669.166436,4757,198.1465,623537.334748,0
1767499500000,3147.9,3150.02,3144.89,3146.83,358.2503,1767499799999,1127691.765855,6223,187.5285,590359.455489,0
1767499800000,3146.83,3148.0,3146.0,3147.59,192.0108,1767500099999,604264.44241,4497,74.6971,235087.895027,0
1767500100000,3147.59,3153.15,3147.58,3151.84,966.683,1767500399999,3046725.443233,8645,714.8582,2253003.204482,0
1767500400000,3151.83,3155.51,3150.45,3152.09,900.3693,1767500699999,2839244.796507,11134,532.7437,1679936.141464,0
1767500700000,3152.09,3152.09,3149.71,3150.07,283.8824,1767500999999,894461.648535,4695,143.1815,451153.510682,0
1767501000000,3150.06,3154.99,3150.06,3152.46,327.8251,1767501299999,1033552.273137,7883,244.6794,771376.970924,0
1767501300000,3152.46,3156.0,3152.46,3154.42,881.1569,1767501599999,2779291.85808,9039,559.894,1765875.938641,0
1767501600000,3154.43,3154.43,3152.46,3153.15,213.2299,1767501899999,672365.276794,3506,93.2937,294147.238934,0
1767501900000,3153.15,3153.95,3151.18,3152.69,310.1963,1767502199999,977929.541096,5877,167.8496,529146.657615,0
1767502200000,3152.68,3152.68,3147.99,3148.26,278.5401,1767502499999,877351.51541,4923,78.2177,246337.886811,0
1767502500000,3148.26,3149.4,3147.84,3148.25,219.4074,1767502799999,690775.848313,2614,92.5543,291376.53489,0
1767502800000,3148.26,3149.08,3144.48,3147.3,553.8655,1767503099999,1742911.902645,7795,144.413,454429.871383,0
1767503100000,3147.31,3149.55,3147.31,3148.8,289.213,1767503399999,910585.84956,6571,163.3387,514283.793508,0
1767503400000,3148.8,3148.81,3147.39,3147.39,139.7185,1767503699999,439819.415867,2303,30.0249,94511.885155,0
1767503700000,3147.39,3150.27,3146.7,3150.01,407.8246,1767503999999,1284100.565245,5698,207.9647,654779.89848,0
1767504000000,3150.01,3151.19,3147.85,3150.39,644.732,1767504299999,2030663.451991,5911,409.532,1289826.229504,0
1767504300000,3150.39,3152.3,3149.64,3151.38,490.4031,1767504599999,1545327.31947,3136,307.3595,968537.014377,0
1767504600000,3151.39,3152.01,3150.52,3151.18,263.1594,1767504899999,829290.373696,3311,68.4165,215598.706468,0
1767504900000,3151.18,3151.18,3146.75,3147.04,316.7623,1767505199999,997444.17571,3482,69.4919,218825.358113,0
1767505200000,3147.04,3147.43,3145.55,3147.42,466.9228,1767505499999,1469089.526209,3192,126.0081,396495.294415,0
1767505500000,3147.42,3149.97,3147.22,3149.96,162.8387,1767505799999,512684.807361,2647,87.1001,274243.137333,0
1767505800000,3149.97,3150.81,3148.87,3149.28,144.2613,1767506099999,454402.034947,3247,61.3904,193372.473243,0
1767506100000,3149.28,3151.37,3148.87,3151.36,76.6563,1767506399999,241487.870659,2234,36.6781,115561.593215,0
1767506400000,3151.36,3151.77,3149.57,3151.77,183.7776,1767506699999,579073.983054,4950,94.9632,299229.971565,0
