strategy,pair,mechanism,trigger_value,threshold,reason,source,enabled,model_week,model_sha256,feature_schema_sha256,strategy_schema_sha256,start_ts,end_ts,phase,action
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0384197197854518,0.0388851277530193,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,17,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774310400,1774310700,REENTRY,three_healthy_cycles_then_rebuild
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0373708456754684,0.0393210425972938,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,25,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1778630400,1778630700,EXITING,cancel_and_market_exit
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0373708456754684,0.0393210425972938,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,25,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1778630700,1780833600,COOLDOWN,quote_only_until_model_recovery
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0373708456754684,0.0393210425972938,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,25,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1780833600,1780833900,REENTRY,three_healthy_cycles_then_rebuild
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0340322591364383,0.0409588947892189,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,30,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1781726400,1781726700,EXITING,cancel_and_market_exit
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0340322591364383,0.0409588947892189,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,30,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1781726700,1782014400,COOLDOWN,quote_only_until_model_recovery
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0340322591364383,0.0409588947892189,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,30,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1782014400,1782014700,REENTRY,three_healthy_cycles_then_rebuild
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0173381809145212,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783929600,1783929900,EXITING,cancel_and_market_exit
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0173381809145212,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783929900,1784131200,COOLDOWN,quote_only_until_model_recovery
grid,BTC-FDUSD,v22_weekly_buy_gate,0.0173381809145212,0.070953807234764,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,34,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1784131200,1784131500,REENTRY,three_healthy_cycles_then_rebuild
