timestamp,open,high,low,close,volume
1759276800,4154.79000000,4161.33000000,4153.58000000,4161.12000000,991.10470000
1759277100,4160.97000000,4162.37000000,4157.08000000,4158.61000000,496.54370000
1759277400,4159.01000000,4159.34000000,4152.73000000,4155.34000000,647.68300000
1759277700,4155.34000000,4156.74000000,4149.55000000,4154.37000000,806.36700000
1759278000,4154.45000000,4155.17000000,4144.94000000,4147.38000000,876.54000000
1759278300,4147.33000000,4149.44000000,4139.70000000,4142.16000000,882.54640000
1759278600,4142.14000000,4150.86000000,4137.62000000,4150.02000000,882.07880000
1759278900,4150.10000000,4151.11000000,4140.92000000,4142.49000000,851.24570000
1759279200,4142.75000000,4144.23000000,4134.20000000,4136.35000000,1206.95800000
1759279500,4136.58000000,4142.67000000,4132.55000000,4139.04000000,1002.16560000
1759279800,4139.17000000,4155.33000000,4138.83000000,4154.61000000,1000.81730000
1759280100,4154.72000000,4158.35000000,4152.70000000,4157.94000000,764.31240000
1759280400,4158.21000000,4159.44000000,4151.75000000,4157.19000000,843.02740000
1759280700,4157.41000000,4161.76000000,4156.88000000,4160.49000000,630.00600000
1759281000,4160.58000000,4166.66000000,4159.40000000,4160.71000000,886.49360000
1759281300,4160.84000000,4163.89000000,4154.27000000,4155.33000000,990.00730000
1759281600,4154.99000000,4162.00000000,4152.50000000,4161.23000000,1030.18740000
1759281900,4161.44000000,4169.49000000,4159.15000000,4162.95000000,997.63660000
1759282200,4162.94000000,4163.69000000,4155.34000000,4156.33000000,601.19350000
1759282500,4156.49000000,4170.25000000,4155.21000000,4169.45000000,1061.60240000
1759282800,4169.59000000,4176.94000000,4168.46000000,4173.86000000,1064.98920000
1759283100,4173.56000000,4179.85000000,4173.10000000,4177.69000000,1201.21660000
1759283400,4177.55000000,4182.92000000,4174.14000000,4182.46000000,1250.75580000
1759283700,4182.62000000,4184.25000000,4178.19000000,4180.32000000,714.58720000
1759284000,4180.43000000,4180.90000000,4170.94000000,4175.80000000,1264.50620000
1759284300,4176.01000000,4177.32000000,4172.49000000,4175.25000000,614.66100000
1759284600,4175.12000000,4176.20000000,4170.32000000,4172.95000000,730.30700000
1759284900,4172.71000000,4179.76000000,4170.24000000,4177.70000000,868.77060000
1759285200,4177.47000000,4179.86000000,4174.80000000,4177.43000000,645.31450000
1759285500,4177.58000000,4178.73000000,4175.13000000,4175.77000000,501.29700000
1759285800,4175.95000000,4177.04000000,4169.91000000,4173.58000000,837.78700000
1759286100,4173.72000000,4176.04000000,4171.44000000,4174.50000000,603.51960000
1759286400,4174.39000000,4174.48000000,4167.99000000,4168.38000000,562.73730000
1759286700,4168.42000000,4170.15000000,4161.61000000,4167.50000000,1414.32130000
1759287000,4167.52000000,4168.39000000,4161.90000000,4166.08000000,920.17530000
1759287300,4166.18000000,4167.16000000,4161.53000000,4162.59000000,803.08680000
1759287600,4162.66000000,4163.50000000,4155.00000000,4156.63000000,1149.98130000
1759287900,4156.65000000,4161.96000000,4154.73000000,4158.20000000,964.19980000
1759288200,4158.24000000,4161.82000000,4156.84000000,4159.95000000,664.76540000
1759288500,4160.11000000,4161.37000000,4153.78000000,4157.17000000,1296.17940000
1759288800,4157.15000000,4160.65000000,4150.50000000,4156.21000000,1337.37090000
1759289100,4156.00000000,4159.54000000,4149.71000000,4150.96000000,1005.93280000
1759289400,4150.78000000,4155.81000000,4150.61000000,4155.67000000,953.65870000
1759289700,4155.80000000,4158.38000000,4152.12000000,4153.79000000,1132.37960000
1759290000,4153.67000000,4154.82000000,4145.82000000,4147.44000000,1026.01340000
1759290300,4147.30000000,4147.30000000,4138.95000000,4141.26000000,1256.25900000
1759290600,4140.91000000,4144.69000000,4138.48000000,4139.34000000,1012.48270000
1759290900,4139.49000000,4142.34000000,4137.45000000,4138.68000000,477.98390000
1759291200,4138.66000000,4152.97000000,4135.40000000,4150.58000000,1230.17040000
1759291500,4150.72000000,4157.22000000,4150.70000000,4152.02000000,1040.04320000
1759291800,4152.05000000,4154.01000000,4149.55000000,4151.30000000,671.54350000
1759292100,4151.27000000,4160.42000000,4150.20000000,4159.13000000,720.57110000
1759292400,4159.43000000,4159.81000000,4151.49000000,4156.61000000,926.38020000
1759292700,4156.60000000,4160.21000000,4153.94000000,4160.05000000,1258.73780000
1759293000,4160.12000000,4166.43000000,4154.64000000,4154.88000000,2021.27040000
1759293300,4154.74000000,4163.22000000,4154.39000000,4155.15000000,1136.10650000
1759293600,4155.32000000,4159.50000000,4153.70000000,4156.05000000,648.75000000
1759293900,4156.33000000,4161.54000000,4155.00000000,4158.82000000,770.37560000
1759294200,4158.79000000,4159.12000000,4149.20000000,4150.50000000,1075.87710000
1759294500,4150.34000000,4151.50000000,4145.79000000,4150.37000000,868.47950000
1759294800,4150.55000000,4155.71000000,4149.04000000,4152.31000000,1025.27420000
1759295100,4152.42000000,4161.20000000,4151.98000000,4160.25000000,980.37130000
1759295400,4159.93000000,4166.02000000,4156.84000000,4158.74000000,1131.30490000
1759295700,4158.78000000,4166.87000000,4155.62000000,4164.74000000,1023.14520000
1759296000,4164.75000000,4165.18000000,4156.44000000,4158.63000000,878.94340000
1759296300,4158.75000000,4159.59000000,4153.49000000,4157.82000000,1049.52940000
1759296600,4157.80000000,4162.58000000,4153.60000000,4161.74000000,1122.85710000
1759296900,4161.76000000,4162.97000000,4158.75000000,4162.00000000,581.84050000
1759297200,4161.90000000,4163.18000000,4159.00000000,4160.46000000,574.77790000
1759297500,4160.92000000,4162.37000000,4157.70000000,4160.61000000,592.59000000
1759297800,4160.87000000,4161.82000000,4156.74000000,4157.39000000,423.85340000
1759298100,4157.12000000,4158.45000000,4152.59000000,4153.48000000,754.40270000
1759298400,4153.65000000,4156.77000000,4146.74000000,4151.61000000,1429.09700000
1759298700,4151.79000000,4153.38000000,4143.72000000,4149.24000000,1336.38440000
1759299000,4149.44000000,4151.65000000,4145.14000000,4150.94000000,634.96950000
1759299300,4151.00000000,4155.65000000,4147.28000000,4149.70000000,665.89960000
1759299600,4149.70000000,4149.85000000,4139.62000000,4146.50000000,1475.76830000
1759299900,4146.47000000,4148.93000000,4142.41000000,4144.34000000,810.28500000
1759300200,4144.28000000,4148.71000000,4141.72000000,4147.32000000,698.56760000
1759300500,4147.17000000,4149.97000000,4145.47000000,4149.79000000,671.56120000
1759300800,4149.53000000,4152.05000000,4143.75000000,4146.25000000,862.81930000
1759301100,4146.65000000,4147.26000000,4132.78000000,4137.25000000,2455.97580000
1759301400,4137.22000000,4138.28000000,4132.49000000,4134.33000000,1538.18400000
1759301700,4134.39000000,4137.84000000,4131.96000000,4135.87000000,1137.53360000
1759302000,4135.72000000,4143.75000000,4133.78000000,4141.64000000,1830.72920000
1759302300,4141.59000000,4144.36000000,4137.41000000,4141.21000000,950.32710000
1759302600,4141.32000000,4144.60000000,4139.52000000,4143.05000000,1206.12340000
1759302900,4142.92000000,4151.00000000,4142.58000000,4147.24000000,1353.49710000
1759303200,4147.00000000,4149.30000000,4142.59000000,4147.99000000,1076.96140000
1759303500,4148.09000000,4151.36000000,4147.64000000,4149.96000000,832.61180000
1759303800,4150.01000000,4153.91000000,4146.50000000,4149.17000000,1330.27950000
1759304100,4149.11000000,4151.65000000,4147.84000000,4149.84000000,778.94320000
1759304400,4149.66000000,4153.36000000,4148.38000000,4151.85000000,687.83290000
1759304700,4151.78000000,4153.85000000,4148.20000000,4151.53000000,877.08390000
1759305000,4151.45000000,4155.57000000,4150.27000000,4153.40000000,656.08930000
1759305300,4153.41000000,4157.56000000,4152.96000000,4155.30000000,513.75850000
1759305600,4155.10000000,4159.41000000,4152.22000000,4158.59000000,987.38520000
1759305900,4158.41000000,4163.80000000,4156.72000000,4161.88000000,868.77720000
