timestamp,open,high,low,close,volume
1759276800,114312.49000000,114477.40000000,114305.79000000,114472.38000000,124.71458000
1759277100,114474.82000000,114565.20000000,114431.00000000,114495.00000000,106.45800000
1759277400,114495.17000000,114509.23000000,114389.29000000,114420.85000000,84.38621000
1759277700,114418.04000000,114443.10000000,114348.01000000,114416.79000000,112.71761000
1759278000,114416.89000000,114441.34000000,114211.04000000,114253.73000000,119.19141000
1759278300,114254.15000000,114311.47000000,114205.88000000,114272.42000000,121.77558000
1759278600,114270.94000000,114492.25000000,114231.00000000,114470.69000000,123.87646000
1759278900,114472.84000000,114498.32000000,114327.39000000,114347.31000000,126.61764000
1759279200,114347.53000000,114362.44000000,114216.00000000,114232.87000000,78.14265000
1759279500,114234.00000000,114319.01000000,114217.29000000,114286.49000000,91.69212000
1759279800,114285.28000000,114495.30000000,114283.45000000,114484.74000000,127.53754000
1759280100,114484.94000000,114525.06000000,114436.04000000,114493.99000000,123.48770000
1759280400,114495.71000000,114514.31000000,114382.98000000,114505.01000000,114.45701000
1759280700,114506.00000000,114600.00000000,114489.45000000,114561.97000000,97.27623000
1759281000,114561.96000000,114662.49000000,114543.30000000,114602.43000000,123.97049000
1759281300,114602.70000000,114698.75000000,114475.55000000,114518.88000000,143.89472000
1759281600,114517.07000000,114576.29000000,114444.59000000,114557.93000000,103.79687000
1759281900,114559.29000000,114662.37000000,114523.36000000,114633.10000000,73.83197000
1759282200,114634.67000000,114636.93000000,114466.29000000,114478.82000000,74.72223000
1759282500,114483.02000000,114663.81000000,114466.17000000,114661.88000000,113.57838000
1759282800,114661.88000000,114762.29000000,114648.01000000,114658.83000000,136.52141000
1759283100,114659.21000000,114709.59000000,114625.75000000,114664.43000000,110.05579000
1759283400,114662.87000000,114764.70000000,114603.40000000,114761.31000000,88.72157000
1759283700,114763.67000000,114817.32000000,114762.17000000,114801.35000000,84.75574000
1759284000,114803.63000000,114823.00000000,114657.58000000,114770.14000000,132.67691000
1759284300,114772.95000000,114813.06000000,114695.00000000,114738.04000000,84.43176000
1759284600,114737.25000000,114791.00000000,114681.67000000,114727.70000000,92.04162000
1759284900,114726.37000000,114766.86000000,114656.06000000,114705.30000000,115.55323000
1759285200,114706.66000000,114730.08000000,114683.91000000,114713.06000000,72.37500000
1759285500,114713.42000000,114727.17000000,114667.53000000,114677.68000000,76.24969000
1759285800,114679.13000000,114696.99000000,114546.09000000,114676.35000000,105.84276000
1759286100,114678.40000000,114708.33000000,114640.00000000,114687.95000000,85.93780000
1759286400,114686.40000000,114688.99000000,114561.13000000,114568.99000000,76.12573000
1759286700,114569.82000000,114658.23000000,114542.55000000,114605.49000000,90.35025000
1759287000,114605.36000000,114634.00000000,114533.23000000,114602.68000000,94.75572000
1759287300,114604.47000000,114627.19000000,114511.29000000,114523.98000000,73.25278000
1759287600,114525.63000000,114544.66000000,114433.86000000,114485.83000000,63.58218000
1759287900,114486.39000000,114632.92000000,114478.00000000,114595.07000000,99.22292000
1759288200,114596.72000000,114694.04000000,114570.00000000,114680.81000000,69.76706000
1759288500,114681.47000000,114733.00000000,114633.70000000,114722.64000000,126.45421000
1759288800,114722.94000000,114778.45000000,114581.67000000,114716.01000000,94.75230000
1759289100,114719.76000000,114794.17000000,114642.33000000,114722.35000000,74.41179000
1759289400,114722.06000000,114782.58000000,114701.00000000,114779.94000000,91.99721000
1759289700,114779.94000000,114802.40000000,114669.62000000,114687.05000000,110.23330000
1759290000,114687.77000000,114689.18000000,114566.76000000,114572.60000000,90.00890000
