strategy,scenario,pair,net_pnl_quote,max_drawdown_pct,fees_quote,forced_exits
grid,legacy_buy_only,ALL,-4.10205176515791,-15.452621089548902,,
grid,forced_exit_v2,ALL,49.63050953992058,-9.628645736641383,3.331824148093,15.0
dca,legacy_buy_only,BTC-USDT,-61.33781142767714,-40.365488768498814,14.143808648095565,0.0
dca,legacy_buy_only,ETH-USDT,-95.92326060683763,-58.98228978481369,23.961764927897036,0.0
dca,legacy_buy_only,ALL,-157.26107203451477,-49.693798867210404,38.1055735759926,0.0
dca,forced_exit_v2,BTC-USDT,1.8952214917809442,-12.439487856820264,13.362058722016746,7.0
dca,forced_exit_v2,ETH-USDT,-14.08091821628966,-16.953197877593063,21.492011736357853,6.0
dca,forced_exit_v2,ALL,-12.185696724508716,-11.811319719677005,34.8540704583746,13.0
