timestamp,equity,peak_equity,drawdown_pct
1767842400.0,10000.0,10000.0,0.0
1767842700.0,10000.108489492484,10000.108489492484,0.0
1767843000.0,10000.176823068325,10000.176823068325,0.0
1767843300.0,10000.256563707437,10000.256563707437,0.0
1767843600.0,9999.825828590594,10000.256563707437,-4.307240660263714e-05
1767843900.0,10000.241415469787,10000.256563707437,-1.5147849010724898e-06
1767844200.0,9999.95202251516,10000.256563707437,-3.0453337905633424e-05
1767844500.0,10000.058941423003,10000.256563707437,-1.976172142927217e-05
1767844800.0,10000.631875572726,10000.631875572726,0.0
1767845100.0,9999.418084005823,10000.631875572726,-0.00012137148752245371
1767845400.0,10000.388918746228,10000.631875572726,-2.4294147561949793e-05
1767845700.0,10000.748425986749,10000.748425986749,0.0
1767846000.0,10001.43489201112,10001.43489201112,0.0
1767846300.0,10003.062531045069,10003.062531045069,0.0
1767846600.0,10003.294493861413,10003.294493861413,0.0
1767846900.0,10003.127421730105,10003.294493861413,-1.6701710762399553e-05
1767847200.0,10003.055390561305,10003.294493861413,-2.390245536152109e-05
1767847500.0,10003.14205856075,10003.294493861413,-1.5238509748572233e-05
1767847800.0,10002.924200318217,10003.294493861413,-3.701715903924358e-05
1767848100.0,10002.893422094123,10003.294493861413,-4.00939677959194e-05
1767848400.0,10003.426106896637,10003.426106896637,0.0
1767848700.0,10003.663212117326,10003.663212117326,0.0
1767849000.0,10003.302950909632,10003.663212117326,-3.601292846978876e-05
1767849300.0,10003.363387879761,10003.663212117326,-2.9971444580622833e-05
1767849600.0,10003.401762885624,10003.663212117326,-2.613534923744825e-05
1767849900.0,10002.822368466424,10003.663212117326,-8.405357448291106e-05
1767850200.0,10002.895840191113,10003.663212117326,-7.670909245359602e-05
1767850500.0,10003.286690661535,10003.663212117326,-3.763835785030362e-05
1767850800.0,10002.027502333784,10003.663212117326,-0.00016351108077701325
1767851100.0,10001.910955349298,10003.663212117326,-0.00017516151142568754
1767851400.0,10001.475152078294,10003.663212117326,-0.0002187258799738387
1767851700.0,10001.389056598726,10003.663212117326,-0.00022733227522550443
1767852000.0,10000.697038512455,10003.663212117326,-0.00029650874304506576
1767852300.0,9999.842387275792,10003.663212117326,-0.00038194257048816417
1767852600.0,9999.070153088658,10003.663212117326,-0.0004591377109841596
1767852900.0,9996.505363587285,10003.663212117326,-0.0007155227418463365
1767853200.0,9995.760561971816,10003.663212117326,-0.0007899756297210865
1767853500.0,9996.471943484334,10003.663212117326,-0.0007188635283404712
1767853800.0,9997.376864625929,10003.663212117326,-0.000628404551223084
1767854100.0,9998.442859587163,10003.663212117326,-0.0005218440904567411
1767854400.0,9998.20817453887,10003.663212117326,-0.0005453040014230901
1767854700.0,9996.229118137362,10003.663212117326,-0.0007431371710874056
1767855000.0,9994.636716366975,10003.663212117326,-0.0009023190364323434
1767855300.0,9991.226890193368,10003.663212117326,-0.0012431767903676076
1767855600.0,9989.919746351685,10003.663212117326,-0.0013738433086185864
1767855900.0,9991.847208017403,10003.663212117326,-0.001181167723200657
1767856200.0,9994.0290434439,10003.663212117326,-0.0009630640765431802
1767856500.0,9994.716121288502,10003.663212117326,-0.0008943814519851578
1767856800.0,9996.17712098096,10003.663212117326,-0.0007483349826590372
1767857100.0,9997.503470334415,10003.663212117326,-0.0006157486165117482
1767857400.0,9999.364219890887,10003.663212117326,-0.0004297417991072902
1767857700.0,9997.954126567112,10003.663212117326,-0.000570699495690582
1767858000.0,9999.137511505243,10003.663212117326,-0.00045240433590375875
1767858300.0,9998.51883987266,10003.663212117326,-0.0005142488442068227
1767858600.0,9999.483251922185,10003.663212117326,-0.0004178429547765589
1767858900.0,10000.047764744437,10003.663212117326,-0.0003614123442810399
1767859200.0,10000.828212485741,10003.663212117326,-0.00028339614913771265
1767859500.0,10001.001340924246,10003.663212117326,-0.0002660896450268557
1767859800.0,10001.515745387902,10003.663212117326,-0.00021466803548753947
1767860100.0,10002.06062756549,10003.663212117326,-0.0001601997706095227
1767860400.0,10001.888839716072,10003.663212117326,-0.00017737226490242998
1767860700.0,10002.369096051982,10003.663212117326,-0.00012936421767747522
1767861000.0,10000.957379305853,10003.663212117326,-0.0002704841970484473
1767861300.0,9999.462116888415,10003.663212117326,-0.00041995568421599117
1767861600.0,9999.856982849566,10003.663212117326,-0.0003804835475818555
1767861900.0,9998.611566492982,10003.663212117326,-0.0005049795777035973
1767862200.0,9997.449198492337,10003.663212117326,-0.0006211738133549045
1767862500.0,9997.204135005113,10003.663212117326,-0.0006456711881692671
1767862800.0,9999.065716731748,10003.663212117326,-0.00045958118422155053
1767863100.0,10000.444584538931,10003.663212117326,-0.00032174489585939714
1767863400.0,9998.670902277132,10003.663212117326,-0.0004990481720883016
1767863700.0,9994.96433773397,10003.663212117326,-0.0008695688968035739
1767864000.0,9993.603464782602,10003.663212117326,-0.001005606358532647
1767864300.0,9993.1002540597,10003.663212117326,-0.001055909003896815
1767864600.0,9994.319185616972,10003.663212117326,-0.0009340604838670903
1767864900.0,9993.94311779218,10003.663212117326,-0.0009716534952288855
1767865200.0,9994.087603528165,10003.663212117326,-0.0009572102125111466
1767865500.0,9995.632028364598,10003.663212117326,-0.000802824283708372
1767865800.0,9993.91050596572,10003.663212117326,-0.0009749134836719885
1767866100.0,9991.663543527578,10003.663212117326,-0.0011995274466270122
1767866400.0,9987.582151982715,10003.663212117326,-0.0016075171458323685
1767866700.0,9989.820373638659,10003.663212117326,-0.001383776941020952
1767867000.0,9990.985821870087,10003.663212117326,-0.0012672747950854262
1767867300.0,9992.728622464398,10003.663212117326,-0.0010930585547585742
1767867600.0,9995.516405361697,10003.663212117326,-0.0008143823500336079
1767867900.0,9996.000604361716,10003.663212117326,-0.0007659801807730386
1767868200.0,9995.750120750405,10003.663212117326,-0.0007910193695181976
1767868500.0,9994.698769101278,10003.663212117326,-0.0008961160352928865
1767868800.0,9995.547138382077,10003.663212117326,-0.0008113101733991196
1767869100.0,9997.342260006273,10003.663212117326,-0.0006318637460122084
1767869400.0,9999.14650902742,10003.663212117326,-0.000451504913163758
1767869700.0,9999.149656842077,10003.663212117326,-0.000451190246966911
1767870000.0,9999.253156604067,10003.663212117326,-0.00044084406079537104
1767870300.0,9995.123192858591,10003.663212117326,-0.0008536892014107863
1767870600.0,9995.22536097251,10003.663212117326,-0.0008434761312831004
1767870900.0,9995.67859794617,10003.663212117326,-0.0007981690308691309
1767871200.0,9992.218027044224,10003.663212117326,-0.0011440993994318615
1767871500.0,9994.43857098582,10003.663212117326,-0.0009221263187201918
1767871800.0,9993.934355981848,10003.663212117326,-0.0009725293554158839
1767872100.0,9991.443498789482,10003.663212117326,-0.0012215238626828765
1767872400.0,9992.154947152405,10003.663212117326,-0.001150405078709702
1767872700.0,9993.97782302733,10003.663212117326,-0.000968184242574733
1767873000.0,9994.884270863717,10003.663212117326,-0.0008775726518837232
1767873300.0,9995.561032714664,10003.663212117326,-0.0008099212489328761
1767873600.0,9993.144206956838,10003.663212117326,-0.001051515323681246
1767873900.0,9989.71874891949,10003.663212117326,-0.00139393569157206
1767874200.0,9988.165323978463,10003.663212117326,-0.0015492213012620142
1767874500.0,9989.941577947066,10003.663212117326,-0.0013716609485253085
1767874800.0,9991.012795635865,10003.663212117326,-0.0012645784062520343
1767875100.0,9990.800335118207,10003.663212117326,-0.0012858166779883713
1767875400.0,9987.315160998734,10003.663212117326,-0.0016342064673658216
1767875700.0,9986.897166537025,10003.663212117326,-0.0016759906071201053
1767876000.0,9988.855860619713,10003.663212117326,-0.0014801929236959064
1767876300.0,9988.811857336686,10003.663212117326,-0.0014845916406552339
1767876600.0,9986.204673532013,10003.663212117326,-0.0017452145494228583
1767876900.0,9988.812802299732,10003.663212117326,-0.0014844971789540402
1767877200.0,9989.778454844534,10003.663212117326,-0.0013879672854213423
1767877500.0,9990.428284835421,10003.663212117326,-0.0013230080822666395
1767877800.0,9990.339529113246,10003.663212117326,-0.0013318804043644425
1767878100.0,9990.794159242878,10003.663212117326,-0.0012864340393687087
1767878400.0,9991.44112048711,10003.663212117326,-0.0012217616058296842
1767878700.0,9992.450700043595,10003.663212117326,-0.0011208406196791378
1767879000.0,9989.498039171436,10003.663212117326,-0.0014159985842717914
1767879300.0,9990.1465733556,10003.663212117326,-0.0013511689143386866
1767879600.0,9990.864748500673,10003.663212117326,-0.0012793776984765257
1767879900.0,9989.8728203055,10003.663212117326,-0.0013785341948659557
1767880200.0,9989.872126654813,10003.663212117326,-0.0013786035345340671
1767880500.0,9990.894890851576,10003.663212117326,-0.0012763645671601727
1767880800.0,9986.210061980872,10003.663212117326,-0.0017446759018550015
1767881100.0,9989.858666445301,10003.663212117326,-0.0013799490625897317
1767881400.0,9990.039675157435,10003.663212117326,-0.0013618548196813276
1767881700.0,9988.159677163065,10003.663212117326,-0.0015497857760227354
1767882000.0,9986.896467325943,10003.663212117326,-0.0016760605026240152
1767882300.0,9985.589531453305,10003.663212117326,-0.00180670623158616
1767882600.0,9989.217244323274,10003.663212117326,-0.0014440677867437555
1767882900.0,9984.05995646047,10003.663212117326,-0.0019596077198110835
1767883200.0,9980.02930223187,10003.663212117326,-0.002362525545325176
1767883500.0,9988.398531663659,10003.663212117326,-0.0015259090725062755
1767883800.0,9991.73590975886,10003.663212117326,-0.0011922934734567101
1767884100.0,9991.295539286904,10003.663212117326,-0.0012363143948549667
1767884400.0,9987.075666387127,10003.663212117326,-0.0016581471585435568
1767884700.0,9995.670077060651,10003.663212117326,-0.000799020807397122
1767885000.0,9998.097038743477,10003.663212117326,-0.0005564135113131982
1767885300.0,10000.270701714795,10003.663212117326,-0.00033912681090880845
1767885600.0,10003.137443484826,10003.663212117326,-5.255761028254858e-05
1767885900.0,10005.260247385417,10005.260247385417,0.0
1767886200.0,10003.206980611809,10005.260247385417,-0.00020521872723345337
1767886500.0,10003.838786273229,10005.260247385417,-0.00014207137815923943
