rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
31,0.1,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9772.831842027657,-227.16815797234267,-0.022716815797234266,-0.06243764713034458,False,-1,24,27508,13476,418,10,-0.022716815797234266
32,0.08,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9769.621639767545,-230.37836023245472,-0.023037836023245474,-0.05537796852983882,False,-1,24,18348,8931,571,10,-0.023037836023245474
33,0.08,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9766.90525051046,-233.09474948954085,-0.023309474948954086,-0.0575235400126779,False,-1,24,18907,9197,671,10,-0.023309474948954086
34,0.1,16,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9763.817917780161,-236.18208221983878,-0.023618208221983877,-0.07324184337344458,False,-1,24,58223,28779,493,10,-0.023618208221983877
35,0.08,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9761.69698218439,-238.30301781560956,-0.023830301781560956,-0.07982760028091626,False,-1,24,33461,16543,571,10,-0.023830301781560956
36,0.1,12,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9755.995716298126,-244.00428370187365,-0.024400428370187365,-0.06664343040004607,False,-1,24,29277,14349,555,10,-0.024400428370187365
37,0.1,12,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9746.400850069163,-253.59914993083657,-0.025359914993083658,-0.0655763135819429,False,-1,24,28561,13992,493,10,-0.025359914993083658
38,0.06,8,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9742.834904619256,-257.1650953807439,-0.02571650953807439,-0.06738256406587144,False,-1,24,28940,14174,827,10,-0.02571650953807439
39,0.08,8,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9734.28875167256,-265.71124832743953,-0.026571124832743955,-0.06263985890747754,False,-1,24,20000,9726,835,10,-0.026571124832743955
40,0.1,12,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9725.354826491312,-274.64517350868846,-0.027464517350868845,-0.06873575602833056,False,-1,24,22550,10977,418,10,-0.027464517350868845
41,0.1,12,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9706.757301880181,-293.24269811981867,-0.029324269811981867,-0.07064143186152937,False,-1,24,23293,11336,493,10,-0.029324269811981867
42,0.1,12,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9701.234135027946,-298.76586497205426,-0.029876586497205426,-0.07325251164390825,False,-1,24,24100,11732,555,10,-0.029876586497205426
43,0.08,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9699.541675711793,-300.4583242882072,-0.030045832428820723,-0.07852944998174165,False,-1,24,34182,16739,571,10,-0.030045832428820723
44,0.06,8,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9698.67100096766,-301.3289990323392,-0.03013289990323392,-0.07630637203625242,False,-1,24,32572,15952,1318,10,-0.03013289990323392
45,0.06,8,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9696.970749130916,-303.0292508690836,-0.030302925086908364,-0.07349628142815756,False,-1,24,30883,15116,1019,10,-0.030302925086908364
46,0.06,8,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9696.669731666701,-303.3302683332986,-0.03033302683332986,-0.07318435672550862,False,-1,24,23936,11646,827,10,-0.03033302683332986
47,0.06,8,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9658.413352952346,-341.58664704765397,-0.0341586647047654,-0.07910788592271785,False,-1,24,25691,12495,1019,10,-0.0341586647047654
48,0.1,12,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,9535.951124460513,-464.0488755394872,-0.04640488755394872,-0.08051063123779979,True,42657,24,35370,17449,465,0,-0.04640488755394872
49,0.06,8,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9535.02038436529,-464.97961563470926,-0.04649796156347093,-0.08000526295545249,True,42655,24,34832,17177,682,0,-0.04649796156347093
50,0.1,12,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9533.562518021317,-466.4374819786826,-0.04664374819786826,-0.08045337644566274,True,42660,24,33630,16590,346,0,-0.04664374819786826
51,0.1,8,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9523.395165706112,-476.6048342938884,-0.04766048342938884,-0.08127812969877579,True,42661,24,22637,11169,468,0,-0.04766048342938884
52,0.1,12,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9523.206974882152,-476.7930251178477,-0.047679302511784774,-0.08032658446343839,True,42656,24,34378,16955,399,0,-0.047679302511784774
53,0.08,16,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9494.950482281165,-505.049517718835,-0.0505049517718835,-0.08053281693368268,True,42777,24,60959,30054,699,0,-0.0505049517718835
54,0.1,8,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9493.86103046702,-506.1389695329799,-0.05061389695329799,-0.08192567515914084,True,42661,24,21863,10780,346,0,-0.05061389695329799
55,0.1,8,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9493.019178588827,-506.98082141117266,-0.05069808214111726,-0.0818208363256892,True,42661,24,22161,10929,402,0,-0.05069808214111726
56,0.06,12,0.005,0.005,0.005,0.04,0.0,0.08,1,10000,9491.994323337161,-508.0056766628386,-0.05080056766628386,-0.08059473447783841,True,42813,24,60709,29949,1097,0,-0.05080056766628386
57,0.06,12,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9479.123990058286,-520.8760099417141,-0.05208760099417141,-0.08016464634293913,True,42924,24,58283,28743,854,0,-0.05208760099417141
58,0.08,16,0.005,0.005,0.01,0.04,0.0,0.08,1,10000,9474.530308860803,-525.4696911391966,-0.05254696911391966,-0.08032537676245483,True,42816,24,59392,29295,568,0,-0.05254696911391966
59,0.08,16,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9464.21858636672,-535.78141363328,-0.053578141363327995,-0.08142042070904067,True,42924,24,57254,28225,490,0,-0.053578141363327995
60,0.08,8,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,9458.703540313727,-541.296459686273,-0.0541296459686273,-0.0810701987982511,True,42811,24,29032,14310,703,0,-0.0541296459686273
61,0.06,12,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9455.867873693474,-544.1321263065256,-0.05441321263065256,-0.0800335082885977,True,42659,24,35657,17381,684,0,-0.05441321263065256
62,0.06,12,0.005,0.005,0.015,0.04,0.0,0.08,1,10000,9442.627252960465,-557.3727470395352,-0.05573727470395352,-0.08111704945235546,True,42924,24,54772,26983,696,0,-0.05573727470395352
63,0.08,8,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9439.985912892093,-560.0140871079075,-0.05600140871079075,-0.0805839549877651,True,42660,24,17793,8676,481,0,-0.05600140871079075
64,0.1,16,0.005,0.008,0.015,0.04,0.0,0.08,1,10000,9423.934197134538,-576.0658028654616,-0.05760658028654616,-0.08001690067729683,True,42813,24,30445,14826,350,0,-0.05760658028654616
65,0.1,8,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9423.08364731403,-576.9163526859702,-0.05769163526859702,-0.08054438962993841,True,42924,24,15545,7572,475,0,-0.05769163526859702
66,0.1,16,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9420.513546000117,-579.4864539998835,-0.05794864539998835,-0.08014772010655018,True,42661,24,26245,12696,468,0,-0.05794864539998835
67,0.1,16,0.005,0.01,0.015,0.04,0.0,0.08,1,10000,9418.571106504334,-581.4288934956658,-0.05814288934956657,-0.08028262720679667,True,42767,24,24911,12038,348,0,-0.05814288934956657
68,0.08,12,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9415.855883859896,-584.1441161401035,-0.05841441161401035,-0.08017301622725229,True,42813,24,30399,14800,703,0,-0.05841441161401035
69,0.1,16,0.005,0.01,0.01,0.04,0.0,0.08,1,10000,9415.168982996438,-584.831017003562,-0.0584831017003562,-0.08046745553710896,True,42753,24,25546,12355,404,0,-0.0584831017003562
70,0.1,8,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9414.882206003896,-585.1177939961035,-0.05851177939961035,-0.08044501959698215,True,42778,24,12580,6078,471,0,-0.05851177939961035
71,0.1,16,0.005,0.008,0.005,0.04,0.0,0.08,1,10000,9414.435022843782,-585.5649771562184,-0.058556497715621846,-0.08088104973773501,True,42811,24,32369,15772,472,0,-0.058556497715621846
72,0.1,8,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9410.864042658106,-589.135957341894,-0.0589135957341894,-0.08015288486153097,True,42926,24,14820,7213,354,0,-0.0589135957341894
73,0.08,12,0.005,0.01,0.005,0.04,0.0,0.08,1,10000,9409.13900979638,-590.8609902036205,-0.059086099020362055,-0.08110703718265416,True,42772,24,25183,12171,699,0,-0.059086099020362055
74,0.1,16,0.005,0.008,0.01,0.04,0.0,0.08,1,10000,9408.215252576989,-591.7847474230111,-0.05917847474230111,-0.08109918739947115,True,42813,24,31329,15263,406,0,-0.05917847474230111
75,0.1,8,0.01,0.01,0.015,0.04,0.0,0.08,1,10000,9408.195331666357,-591.8046683336433,-0.05918046683336434,-0.08043105477187801,True,42811,24,11898,5744,349,0,-0.05918046683336434
76,0.1,8,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9402.509442218152,-597.4905577818481,-0.05974905577818481,-0.0807265457219398,True,42926,24,15121,7360,409,0,-0.05974905577818481
