grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,weeks_used,first_week,last_week,realized_net_pnl_quote,realized_net_pnl_pct,mean_weekly_pnl_pct,max_drawdown_pct,win_rate,total_grid_moves,total_trades,liquidations,realized_score
0.08,8,0.005,0.005,0.015,0.04,1,14,14,2.135925941827736,0.00021033344413168287,0.0002103334441316407,-0.001079301639098284,1.0,7,849,0,-0.0014086190145157851
0.1,8,0.005,0.005,0.01,0.04,3,1,15,5.164853434984252,0.000538598009113489,0.0001804324543349768,-0.002886657551604139,0.6666666666666666,51,3290,0,-0.004149553873071232
0.1,8,0.005,0.005,0.015,0.04,2,7,8,-2.9198714443646168,-0.0002896847356952392,-0.00014427295146739817,-0.0033617971009495865,0.5,18,1595,0,-0.0051869686028917774
0.08,8,0.005,0.005,0.005,0.04,3,6,16,34.74258922446643,0.0034366501649945036,0.001144645397477565,-0.004511489355034784,1.0,54,2764,0,-0.005622588635074611
0.1,12,0.005,0.005,0.015,0.04,4,10,22,-7.35535958400942,-0.0007445197703893625,-0.00018425159685052752,-0.014811408810887265,0.5,30,4270,0,-0.022401364813181425
0.1,8,0.005,0.005,0.005,0.04,9,2,21,19.612254195761125,0.0019803344904005815,0.00024180350710447494,-0.02225180222377422,0.7777777777777778,186,10913,0,-0.03313589982855685
