global_step,week_index,timestamp,equity,risk_peak_equity,drawdown_pct,cooldown_active
0,1,1782269100.0,10000.0,10000.0,0.0,False
1,1,1782269400.0,10000.086628004,10000.086628004,0.0,False
2,1,1782269700.0,10000.093853870994,10000.093853870994,0.0,False
3,1,1782270000.0,10000.060253822661,10000.093853870994,-3.3599732986527582e-06,False
4,1,1782270300.0,10000.05935543231,10000.093853870994,-3.44981149065874e-06,False
5,1,1782270600.0,10000.064960330648,10000.093853870994,-2.889326917144607e-06,False
6,1,1782270900.0,9999.771844849314,10000.093853870994,-3.2200599952910604e-05,False
7,1,1782271200.0,9999.953208540846,10000.093853870994,-1.4064401014941202e-05,False
8,1,1782271500.0,10000.112878868977,10000.112878868977,0.0,False
9,1,1782271800.0,10000.277036463027,10000.277036463027,0.0,False
10,1,1782272100.0,10000.346513394561,10000.346513394561,0.0,False
11,1,1782272400.0,10000.346513394561,10000.346513394561,0.0,False
12,1,1782272700.0,10000.346513394561,10000.346513394561,0.0,False
13,1,1782273000.0,10000.346513394561,10000.346513394561,0.0,False
14,1,1782273300.0,10000.346513394561,10000.346513394561,0.0,False
15,1,1782273600.0,10000.346513394561,10000.346513394561,0.0,False
16,1,1782273900.0,10000.344139186045,10000.346513394561,-2.3741262492482903e-07,False
17,1,1782274200.0,10000.372939975938,10000.372939975938,0.0,False
18,1,1782274500.0,10000.344139186045,10000.372939975938,-2.8799715836023987e-06,False
19,1,1782274800.0,10000.137733525145,10000.372939975938,-2.3519767933056076e-05,False
20,1,1782275100.0,10000.253556134263,10000.372939975938,-1.1937938954012318e-05,False
21,1,1782275400.0,10000.448788937558,10000.448788937558,0.0,False
22,1,1782275700.0,10000.429340069284,10000.448788937558,-1.9447995469162214e-06,False
23,1,1782276000.0,10000.44516786229,10000.448788937558,-3.620912765242353e-07,False
24,1,1782276300.0,10000.693036036948,10000.693036036948,0.0,False
25,1,1782276600.0,10000.693036036948,10000.693036036948,0.0,False
26,1,1782276900.0,10000.693036036948,10000.693036036948,0.0,False
27,1,1782277200.0,10000.693036036948,10000.693036036948,0.0,False
28,1,1782277500.0,10000.693036036948,10000.693036036948,0.0,False
29,1,1782277800.0,10000.693036036948,10000.693036036948,0.0,False
30,1,1782278100.0,10000.693036036948,10000.693036036948,0.0,False
31,1,1782278400.0,10000.714336229626,10000.714336229626,0.0,False
32,1,1782278700.0,10000.779217944375,10000.779217944375,0.0,False
33,1,1782279000.0,10000.78966777792,10000.78966777792,0.0,False
34,1,1782279300.0,10000.875287765422,10000.875287765422,0.0,False
35,1,1782279600.0,10000.85622311314,10000.875287765422,-1.9062983722752902e-06,False
36,1,1782279900.0,10000.853956537814,10000.875287765422,-2.1329360675399005e-06,False
37,1,1782280200.0,10000.829733837942,10000.875287765422,-4.554994055022819e-06,False
38,1,1782280500.0,10000.835034870424,10000.875287765422,-4.024937201975837e-06,False
39,1,1782280800.0,10000.77080817518,10000.875287765422,-1.0447044607135141e-05,False
40,1,1782281100.0,10000.890311012014,10000.890311012014,0.0,False
41,1,1782281400.0,10000.873214186331,10000.890311012014,-1.7095303668818008e-06,False
42,1,1782281700.0,10000.834983267996,10000.890311012014,-5.532281856617312e-06,False
43,1,1782282000.0,10000.894537536773,10000.894537536773,0.0,False
44,1,1782282300.0,10000.955713670864,10000.955713670864,0.0,False
45,1,1782282600.0,10000.964063462941,10000.964063462941,0.0,False
46,1,1782282900.0,10000.97035581182,10000.97035581182,0.0,False
47,1,1782283200.0,10000.904434721162,10000.97035581182,-6.591469458716875e-06,False
48,1,1782283500.0,10000.871092204206,10000.97035581182,-9.925397644617679e-06,False
49,1,1782283800.0,10000.91893861031,10000.97035581182,-5.141221269610965e-06,False
50,1,1782284100.0,10000.91168458052,10000.97035581182,-5.866553865510186e-06,False
51,1,1782284400.0,10000.953216552854,10000.97035581182,-1.7137596008882743e-06,False
52,1,1782284700.0,10000.855347978864,10000.97035581182,-1.1499667418648446e-05,False
53,1,1782285000.0,10000.968592249046,10000.97035581182,-1.763391661968827e-07,False
54,1,1782285300.0,10000.934498295883,10000.97035581182,-3.5854036819795213e-06,False
55,1,1782285600.0,10000.922519339365,10000.97035581182,-4.783183106542006e-06,False
56,1,1782285900.0,10000.893509293477,10000.97035581182,-7.683906221973069e-06,False
57,1,1782286200.0,10000.907685980743,10000.97035581182,-6.266375046362818e-06,False
58,1,1782286500.0,10000.91243567966,10000.97035581182,-5.791451239141054e-06,False
