week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.005,0.005,0.04,-0.04604763281500501,-94.16868589184924,-0.009416868589184923,-0.024420509483880058,False,155,6782,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.05987619105381545,-118.07165676608929,-0.011807165676608928,-0.03204601691813768,False,138,4614,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-0.04728500376839244,-96.64645456172548,-0.009664645456172547,-0.02508023887481326,False,126,6522,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.058919962251628676,-116.30521046174727,-0.011630521046174727,-0.0315262941369693,False,126,4485,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-0.04590077365460445,-93.1329105490604,-0.00931329105490604,-0.02439165506646561,False,138,6693,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.05619938213561053,-108.31802749546114,-0.010831802749546114,-0.030245052924042944,False,188,8395,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.056582736655968385,-114.869356263609,-0.0114869356263609,-0.03006386735307166,False,162,8147,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.061369269277005326,-126.50778640353201,-0.0126507786403532,-0.03247899375776808,False,224,8521,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.06828446816492673,-135.74549042542458,-0.013574549042542457,-0.03647327941492284,False,126,10122,10
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.05745883059568662,-114.89811694558193,-0.011489811694558193,-0.030646012600752285,False,155,4746,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.005,0.005,0.04,0.0004905028014824111,16.461848319131605,0.0016461848319131605,-0.0007704546869538329,False,23,1604,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.00013340409104480293,16.015709226301624,0.0016015709226301625,-0.0011566500091166436,False,14,993,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.005,0.015,0.04,6.948751558339262e-05,14.14278972840657,0.001414278972840657,-0.0008965276381715096,False,12,1425,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.00022888617553453046,15.087780523041147,0.0015087780523041147,-0.0011584428185590968,False,12,939,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.005,0.01,0.04,0.00016343044209365942,15.261056295625167,0.0015261056295625167,-0.0009084501249792382,False,14,1530,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.08,8,0.005,0.005,0.01,0.04,0.0002595373574741111,18.845504238355716,0.0018845504238355715,-0.0010833420442409737,False,19,1869,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.08,8,0.005,0.005,0.015,0.04,0.0002965535194647971,19.174341649788403,0.0019174341649788402,-0.0010805870970093622,False,21,1904,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.08,8,0.005,0.005,0.005,0.04,0.00020585221788255062,18.42192268812687,0.001842192268812687,-0.0010908933672867575,False,22,1851,10
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,12,0.005,0.005,0.015,0.04,0.00015863065635417315,22.54579835070581,0.002254579835070581,-0.0013972994524776051,False,12,2303,9
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-8.214596974974952e-05,16.684806855559145,0.0016684806855559145,-0.0011670844368704427,False,23,1042,9
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.005,0.005,0.04,-0.00028705450258029663,8.086604829613862,0.0008086604829613862,-0.0007304766570277886,False,21,1215,9
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.0008002093818838403,7.240819224763982,0.0007240819224763982,-0.0010161942029068257,False,16,805,9
