rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,windows_evaluated,avg_selection_score,median_selection_score,avg_net_pnl_pct,median_net_pnl_pct,compound_net_pnl_pct,avg_max_drawdown_pct,worst_max_drawdown_pct,win_rate,liquidation_count,avg_trades,avg_grid_moves
1,0.04,8,0.01,0.003,0.01,0.04,1,0.0007471821979126627,0.0007471821979126627,0.015438677885741344,0.015438677885741344,0.015438677885741381,-0.009794330458552455,-0.009794330458552455,1.0,0,3088.0,51.0
2,0.04,8,0.01,0.003,0.015,0.04,1,-0.0028822739716552487,-0.0028822739716552487,0.013408756316570543,0.013408756316570543,0.01340875631657057,-0.010860686858817194,-0.010860686858817194,1.0,0,2846.0,45.0
3,0.04,8,0.01,0.005,0.015,0.04,1,-0.006162811811037847,-0.006162811811037847,0.015284742124301193,0.015284742124301193,0.015284742124301198,-0.014298369290226027,-0.014298369290226027,1.0,0,1898.0,45.0
4,0.04,8,0.01,0.005,0.01,0.04,1,-0.006238169855284952,-0.006238169855284952,0.016075477692251115,0.016075477692251115,0.01607547769225115,-0.014875765031690712,-0.014875765031690712,1.0,0,2037.0,51.0
5,0.04,8,0.01,0.01,0.015,0.04,1,-0.01834990356470563,-0.01834990356470563,0.015046422222976434,0.015046422222976434,0.015046422222976474,-0.02226421719178804,-0.02226421719178804,1.0,0,1100.0,45.0
6,0.04,8,0.01,0.008,0.015,0.04,1,-0.018350770188426013,-0.018350770188426013,0.013942515574546996,0.013942515574546996,0.013942515574546954,-0.021528857175315337,-0.021528857175315337,1.0,0,1293.0,45.0
7,0.04,8,0.01,0.008,0.01,0.04,1,-0.01854554401054354,-0.01854554401054354,0.014918498131766319,0.014918498131766319,0.014918498131766267,-0.022309361428206574,-0.022309361428206574,1.0,0,1385.0,51.0
8,0.04,8,0.01,0.01,0.01,0.04,1,-0.019011965497882,-0.019011965497882,0.015942150854320426,0.015942150854320426,0.01594215085432049,-0.02330274423480162,-0.02330274423480162,1.0,0,1151.0,51.0
