week_index,timestamp,trading_pair,direction,trigger_price,old_lower,old_upper,new_lower,new_upper,move_threshold
1,1783110300.0,ETH-USDT,up,1753.94,1668.3324,1736.4276000000002,1718.8612,1789.0188,0.01
1,1783187100.0,BTC-USDT,up,63240.01,60152.2824,62607.4776,61975.209800000004,64504.8102,0.01
1,1783371900.0,ETH-USDT,up,1823.52,1718.8612,1789.0188,1787.0496,1859.9904,0.01
1,1783399200.0,ETH-USDT,down,1768.04,1787.0496,1859.9904,1732.6792,1803.4008,0.01
1,1783524000.0,ETH-USDT,down,1715.34,1732.6792,1803.4008,1681.0331999999999,1749.6468,0.01
