rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,windows_evaluated,avg_selection_score,median_selection_score,avg_net_pnl_pct,median_net_pnl_pct,compound_net_pnl_pct,avg_max_drawdown_pct,worst_max_drawdown_pct,win_rate,liquidation_count,avg_trades,avg_grid_moves
1,0.06,8,0.005,0.005,0.015,0.04,22,-0.005202769621133966,-0.0005356045207064341,-0.0003197960832437771,0.0008561782447858604,-0.007184261020670046,-0.0032553156919267927,-0.039415249937737984,0.8181818181818182,0,1914.2727272727273,35.72727272727273
2,0.06,8,0.005,0.005,0.005,0.04,22,-0.005525330809984045,-0.0005659063331232881,-0.0003199693509003407,0.000876189291634273,-0.007218662939411868,-0.0034702409727224697,-0.04160214087545505,0.8181818181818182,0,2104.7727272727275,57.09090909090909
3,0.06,8,0.005,0.005,0.01,0.04,22,-0.005696545829388675,-0.0005120278425392591,-0.00041868956646673157,0.0008939380209661977,-0.00939691246205876,-0.003518570841947963,-0.042787106715767916,0.7727272727272727,0,2034.2727272727273,43.31818181818182
4,0.06,8,0.005,0.008,0.015,0.04,22,-0.0068588133035936945,-0.0010820956465376341,-0.0006505713123853968,0.0008441043659357093,-0.014474870481136604,-0.004138827994138865,-0.05044446355495597,0.7272727272727273,0,1261.8636363636363,35.72727272727273
5,0.06,12,0.005,0.005,0.005,0.04,22,-0.008455035569199233,-0.0009672818494628206,-0.0004564089692398823,0.0013674050920680202,-0.010442989205495912,-0.005332417733306233,-0.06359503741611199,0.8181818181818182,0,3253.681818181818,57.09090909090909
