rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,windows_evaluated,avg_selection_score,median_selection_score,avg_net_pnl_pct,median_net_pnl_pct,compound_net_pnl_pct,avg_max_drawdown_pct,worst_max_drawdown_pct,win_rate,liquidation_count,avg_trades,avg_grid_moves
1,0.04,8,0.01,0.003,0.005,0.04,1,-0.0013070546265726048,-0.0013070546265726048,0.015821704060926277,0.015821704060926277,0.01582170406092631,-0.011419172458332587,-0.011419172458332587,1.0,0,3327.0,77.0
2,0.04,8,0.01,0.003,0.01,0.04,1,-0.0031717524045927377,-0.0031717524045927377,0.014636853599441384,0.014636853599441384,0.014636853599441446,-0.011872404002689414,-0.011872404002689414,1.0,0,3099.0,53.0
3,0.04,8,0.01,0.003,0.015,0.04,1,-0.005788403415432804,-0.005788403415432804,0.012535068707386927,0.012535068707386927,0.012535068707386854,-0.01221564808187982,-0.01221564808187982,1.0,0,2842.0,47.0
4,0.04,8,0.01,0.005,0.005,0.04,1,-0.005900576601794605,-0.005900576601794605,0.017447840391912724,0.017447840391912724,0.017447840391912717,-0.01556561132913822,-0.01556561132913822,1.0,0,2226.0,77.0
5,0.04,8,0.01,0.005,0.015,0.04,1,-0.008761778032771,-0.008761778032771,0.014487360911934593,0.014487360911934593,0.014487360911934699,-0.015499425963137062,-0.015499425963137062,1.0,0,1906.0,47.0
6,0.04,8,0.01,0.005,0.01,0.04,1,-0.008788284934797627,-0.008788284934797627,0.015320853017337504,0.015320853017337504,0.015320853017337432,-0.016072758634756754,-0.016072758634756754,1.0,0,2052.0,53.0
7,0.04,8,0.01,0.008,0.005,0.04,1,-0.014228127052056703,-0.014228127052056703,0.017817976772339535,0.017817976772339535,0.017817976772339428,-0.02136406921626416,-0.02136406921626416,1.0,0,1529.0,77.0
8,0.04,8,0.01,0.008,0.01,0.04,1,-0.018354722063614715,-0.018354722063614715,0.015114892044208681,0.015114892044208681,0.015114892044208572,-0.022313076071882265,-0.022313076071882265,1.0,0,1398.0,53.0
