week_index,timestamp,trading_pair,direction,trigger_price,old_lower,old_upper,new_lower,new_upper,move_threshold
1,1783107300.0,ETH-USDT,up,1750.29,1672.2425999999998,1740.4974,1715.2841999999998,1785.2958,0.005
1,1783178400.0,ETH-USDT,up,1796.04,1715.2841999999998,1785.2958,1760.1191999999999,1831.9608,0.005
1,1783185900.0,BTC-USDT,up,62979.37,60203.0856,62660.354400000004,61719.7826,64238.95740000001,0.005
1,1783339200.0,ETH-USDT,down,1740.19,1760.1191999999999,1831.9608,1705.3862,1774.9938000000002,0.005
1,1783353000.0,ETH-USDT,up,1785.95,1705.3862,1774.9938000000002,1750.231,1821.669,0.005
1,1783498800.0,ETH-USDT,down,1735.61,1750.231,1821.669,1700.8978,1770.3221999999998,0.005
