timestamp,trading_pair,direction,trigger_price,old_lower,old_upper,new_lower,new_upper,move_threshold
1768440600.0,LINK-USDT,down,13.95,14.0532,14.6268,13.671,14.229,0.005
1768443000.0,DOGE-USDT,down,0.14428,0.1452262,0.15115379999999998,0.14139439999999998,0.1471656,0.005
1768443000.0,ADA-USDT,down,0.4075,0.410424,0.427176,0.39935,0.41564999999999996,0.005
1768444500.0,XRP-USDT,down,2.1124,2.124738,2.211462,2.070152,2.154648,0.005
1768448100.0,ETH-USDT,down,3282.99,3307.8136,3442.8264000000004,3217.3302,3348.6497999999997,0.005
1768470000.0,ETH-USDT,up,3369.77,3217.3302,3348.6497999999997,3302.3746,3437.1654,0.005
1768490700.0,AVAX-USDT,down,14.08,14.1904,14.7696,13.798399999999999,14.361600000000001,0.005
1768491900.0,SOL-USDT,down,141.91,142.8546,148.68540000000002,139.0718,144.7482,0.005
1768491900.0,DOGE-USDT,down,0.14023,0.14139439999999998,0.1471656,0.1374254,0.14303459999999998,0.005
1768491900.0,ADA-USDT,down,0.3939,0.39935,0.41564999999999996,0.386022,0.40177799999999997,0.005
1768502700.0,ETH-USDT,down,3285.01,3302.3746,3437.1654,3219.3098,3350.7102000000004,0.005
1768503600.0,AVAX-USDT,down,13.69,13.798399999999999,14.361600000000001,13.4162,13.963799999999999,0.005
1768505700.0,XRP-USDT,down,2.0567,2.070152,2.154648,2.015566,2.097834,0.005
1768509600.0,LINK-USDT,down,13.6,13.671,14.229,13.328,13.872,0.005
1768577100.0,DOGE-USDT,down,0.13657,0.1374254,0.14303459999999998,0.1338386,0.1393014,0.005
1768577400.0,ADA-USDT,down,0.3829,0.386022,0.40177799999999997,0.375242,0.390558,0.005
1768579200.0,AVAX-USDT,down,13.3,13.4162,13.963799999999999,13.034,13.566,0.005
1768596300.0,ADA-USDT,up,0.3934,0.375242,0.390558,0.38553200000000004,0.401268,0.005
1768598700.0,AVAX-USDT,up,13.64,13.034,13.566,13.3672,13.9128,0.005
1768657800.0,TRX-USDT,up,0.3137,0.29988,0.31212,0.307426,0.319974,0.005
1768665600.0,ADA-USDT,up,0.4033,0.38553200000000004,0.401268,0.395234,0.411366,0.005
1768723200.0,ADA-USDT,down,0.3927,0.395234,0.411366,0.38484599999999997,0.400554,0.005
1768779300.0,AVAX-USDT,down,13.27,13.3672,13.9128,13.0046,13.5354,0.005
1768779600.0,ADA-USDT,down,0.3829,0.38484599999999997,0.400554,0.375242,0.390558,0.005
1768779900.0,XRP-USDT,down,1.9922,2.015566,2.097834,1.952356,2.032044,0.005
1768779900.0,DOGE-USDT,down,0.13194,0.1338386,0.1393014,0.1293012,0.1345788,0.005
1768780200.0,SOL-USDT,down,138.36,139.0718,144.7482,135.5928,141.12720000000002,0.005
1768780800.0,BTC-USDT,down,92977.7,93939.6836,97773.95640000001,91118.146,94837.254,0.005
1768780800.0,SOL-USDT,down,134.65,135.5928,141.12720000000002,131.957,137.34300000000002,0.005
1768780800.0,BNB-USDT,down,920.25,925.6002,963.3798,901.845,938.655,0.005
1768780800.0,XRP-USDT,down,1.9416,1.952356,2.032044,1.902768,1.980432,0.005
1768780800.0,DOGE-USDT,down,0.12719,0.1293012,0.1345788,0.1246462,0.1297338,0.005
1768780800.0,ADA-USDT,down,0.3642,0.375242,0.390558,0.356916,0.37148400000000004,0.005
1768780800.0,LINK-USDT,down,12.96,13.328,13.872,12.700800000000001,13.2192,0.005
1768780800.0,AVAX-USDT,down,12.65,13.0046,13.5354,12.397,12.903,0.005
1768782600.0,ETH-USDT,down,3202.99,3219.3098,3350.7102000000004,3138.9302,3267.0498,0.005
1768839600.0,XRP-USDT,up,1.9962,1.902768,1.980432,1.956276,2.036124,0.005
1768854000.0,DOGE-USDT,up,0.13045,0.1246462,0.1297338,0.127841,0.133059,0.005
1768889700.0,XRP-USDT,down,1.9441,1.956276,2.036124,1.9052179999999999,1.982982,0.005
1768889700.0,DOGE-USDT,down,0.12669,0.127841,0.133059,0.1241562,0.1292238,0.005
1768891500.0,ETH-USDT,down,3117.6,3138.9302,3267.0498,3055.248,3179.9519999999998,0.005
1768891800.0,SOL-USDT,down,131.23,131.957,137.34300000000002,128.60539999999997,133.8546,0.005
1768891800.0,LINK-USDT,down,12.62,12.700800000000001,13.2192,12.3676,12.872399999999999,0.005
1768901400.0,TRX-USDT,down,0.3057,0.307426,0.319974,0.299586,0.31181400000000004,0.005
1768920300.0,BTC-USDT,down,90449.78,91118.146,94837.254,88640.7844,92258.7756,0.005
1768921200.0,ETH-USDT,down,3026.88,3055.248,3179.9519999999998,2966.3424,3087.4176,0.005
1768921500.0,SOL-USDT,down,127.32,128.60539999999997,133.8546,124.77359999999999,129.8664,0.005
1768921500.0,BNB-USDT,down,897.05,901.845,938.655,879.1089999999999,914.991,0.005
1768924200.0,TRX-USDT,down,0.2979,0.299586,0.31181400000000004,0.291942,0.303858,0.005
1768926300.0,AVAX-USDT,down,12.33,12.397,12.903,12.0834,12.576600000000001,0.005
1768926600.0,ADA-USDT,down,0.3551,0.356916,0.37148400000000004,0.34799800000000003,0.362202,0.005
1768927200.0,LINK-USDT,down,12.29,12.3676,12.872399999999999,12.044199999999998,12.5358,0.005
1768943700.0,XRP-USDT,down,1.8947,1.9052179999999999,1.982982,1.856806,1.9325940000000001,0.005
1768948200.0,ETH-USDT,down,2936.6,2966.3424,3087.4176,2877.868,2995.332,0.005
