global_step,week_index,timestamp,equity,risk_peak_equity,drawdown_pct,cooldown_active
0,1,1770434100.0,10000.0,10000.0,0.0,False
1,1,1770434400.0,10000.0,10000.0,0.0,False
2,1,1770434700.0,10000.001273765603,10000.001273765603,0.0,False
3,1,1770435000.0,9999.984094203264,10000.001273765603,-1.7179560150878463e-06,False
4,1,1770435300.0,9999.990831286535,10000.001273765603,-1.0442477737806267e-06,False
5,1,1770435600.0,9999.984767911592,10000.001273765603,-1.6505851909025547e-06,False
6,1,1770435900.0,9999.955461599366,10000.001273765603,-4.581216040234257e-06,False
7,1,1770436200.0,9999.966914640925,10000.001273765603,-3.4359120301756927e-06,False
8,1,1770436500.0,9999.963882953454,10000.001273765603,-3.7390807386457073e-06,False
9,1,1770436800.0,9999.966099001835,10000.001273765603,-3.517475928829689e-06,False
10,1,1770437100.0,9999.971756529845,10000.001273765603,-2.9517231998445232e-06,False
11,1,1770437400.0,10000.022617985045,10000.022617985045,0.0,False
12,1,1770437700.0,10000.02194461588,10000.022617985045,-6.733676413384138e-08,False
13,1,1770438000.0,10000.080532555314,10000.080532555314,0.0,False
14,1,1770438300.0,9999.940035071002,10000.080532555314,-1.4049635285867803e-05,False
15,1,1770438600.0,9999.972154302492,10000.080532555314,-1.0837738003141386e-05,False
16,1,1770438900.0,9999.890925354312,10000.080532555314,-1.8960567405927468e-05,False
17,1,1770439200.0,9999.767668963199,10000.080532555314,-3.1286107256464566e-05,False
18,1,1770439500.0,9999.799325141277,10000.080532555314,-2.812051494196189e-05,False
19,1,1770439800.0,9999.805770867215,10000.080532555314,-2.747594753905412e-05,False
20,1,1770440100.0,9999.86525710831,10000.080532555314,-2.152737133501646e-05,False
21,1,1770440400.0,9999.868410634635,10000.080532555314,-2.1212021242005404e-05,False
22,1,1770440700.0,10000.017871136766,10000.080532555314,-6.266091392322569e-06,False
23,1,1770441000.0,9999.978817748177,10000.080532555314,-1.0171398800814998e-05,False
24,1,1770441300.0,10000.043382787308,10000.080532555314,-3.714946883203671e-06,False
25,1,1770441600.0,10000.091347353597,10000.091347353597,0.0,False
26,1,1770441900.0,9999.906201504104,10000.091347353597,-1.8514415825009397e-05,False
27,1,1770442200.0,9999.9244533287,10000.091347353597,-1.6689250037764008e-05,False
28,1,1770442500.0,9999.92238200143,10000.091347353597,-1.689638087265186e-05,False
29,1,1770442800.0,9999.950381634082,10000.091347353597,-1.4096443184171733e-05,False
30,1,1770443100.0,9999.986800518784,10000.091347353597,-1.045458798139911e-05,False
31,1,1770443400.0,9999.820137779983,10000.091347353597,-2.712070962082536e-05,False
32,1,1770443700.0,9999.945281738484,10000.091347353597,-1.4606428085354183e-05,False
33,1,1770444000.0,9999.99943053296,10000.091347353597,-9.191598100830839e-06,False
34,1,1770444300.0,10000.041373380664,10000.091347353597,-4.997351643815544e-06,False
35,1,1770444600.0,10000.009443684035,10000.091347353597,-8.190292139963087e-06,False
36,1,1770444900.0,9999.798212681773,10000.091347353597,-2.9313199414008976e-05,False
37,1,1770445200.0,9999.920289249894,10000.091347353597,-1.7105654114607266e-05,False
38,1,1770445500.0,9999.987559004152,10000.091347353597,-1.0378740137413981e-05,False
39,1,1770445800.0,9999.988264010037,10000.091347353597,-1.0308240192931236e-05,False
40,1,1770446100.0,10000.038456952456,10000.091347353597,-5.288991800535343e-06,False
41,1,1770446400.0,9999.911609574712,10000.091347353597,-1.797361370423268e-05,False
42,1,1770446700.0,9999.80834380079,10000.091347353597,-2.8300096766694812e-05,False
43,1,1770447000.0,9999.552063871704,10000.091347353597,-5.392785557253066e-05,False
44,1,1770447300.0,9999.076954900927,10000.091347353597,-0.00010143831865472366,False
45,1,1770447600.0,9999.18252092545,10000.091347353597,-9.08818126334148e-05,False
46,1,1770447900.0,9998.835173578065,10000.091347353597,-0.00012561623008211647,False
47,1,1770448200.0,9998.49145140094,10000.091347353597,-0.00015998813381642486,False
48,1,1770448500.0,9998.454046969053,10000.091347353597,-0.00016372854283746815,False
49,1,1770448800.0,9998.539835339903,10000.091347353597,-0.00015514978411711644,False
50,1,1770449100.0,9998.781328849394,10000.091347353597,-0.00013100065376391213,False
51,1,1770449400.0,9998.40837565845,10000.091347353597,-0.00016829563217863678,False
52,1,1770449700.0,9998.682259153,10000.091347353597,-0.00014090753290664376,False
53,1,1770450000.0,9999.164376549648,10000.091347353597,-9.26962336392648e-05,False
54,1,1770450300.0,9998.972526850213,10000.091347353597,-0.00011188102833473203,False
55,1,1770450600.0,9998.955553552916,10000.091347353597,-0.00011357834255993847,False
56,1,1770450900.0,9998.808883260179,10000.091347353597,-0.000128245237855464,False
57,1,1770451200.0,9998.83873970221,10000.091347353597,-0.00012525962092510312,False
58,1,1770451500.0,9998.761714327757,10000.091347353597,-0.0001329620880105071,False
59,1,1770451800.0,9998.884190397885,10000.091347353597,-0.00012071459287533805,False
60,1,1770452100.0,9998.822396029826,10000.091347353597,-0.0001268939732342392,False
61,1,1770452400.0,9999.072287119214,10000.091347353597,-0.00010190509256222542,False
62,1,1770452700.0,9998.925599072874,10000.091347353597,-0.00011657376320174877,False
63,1,1770453000.0,9999.024377379117,10000.091347353597,-0.00010669602280801115,False
64,1,1770453300.0,9998.865357554994,10000.091347353597,-0.00012259785996122493,False
65,1,1770453600.0,9998.967063263888,10000.091347353597,-0.0001124273819764638,False
66,1,1770453900.0,9999.128463185036,10000.091347353597,-9.628753729490606e-05,False
67,1,1770454200.0,9999.216913871789,10000.091347353597,-8.744254941620194e-05,False
68,1,1770454500.0,9999.109414702998,10000.091347353597,-9.819236809855681e-05,False
69,1,1770454800.0,9999.112348340412,10000.091347353597,-9.789900703696628e-05,False
70,1,1770455100.0,9999.16504882383,10000.091347353597,-9.262900683517866e-05,False
71,1,1770455400.0,9999.332525971638,10000.091347353597,-7.588144503889228e-05,False
72,1,1770455700.0,9999.134397091959,10000.091347353597,-9.569415202302157e-05,False
73,1,1770456000.0,9999.181570565273,10000.091347353597,-9.097684778288592e-05,False
74,1,1770456300.0,9998.876279283266,10000.091347353597,-0.00012150569711068664,False
75,1,1770456600.0,9998.627216914749,10000.091347353597,-0.00014641170645259403,False
76,1,1770456900.0,9998.490163790108,10000.091347353597,-0.00016011689372345226,False
77,1,1770457200.0,9998.595738595932,10000.091347353597,-0.00014955950957993352,False
78,1,1770457500.0,9998.480353684885,10000.091347353597,-0.00016109789528452674,False
79,1,1770457800.0,9998.628872824365,10000.091347353597,-0.0001462461170035496,False
80,1,1770458100.0,9998.71148291192,10000.091347353597,-0.00013798518370951781,False
81,1,1770458400.0,9998.812665421216,10000.091347353597,-0.000127867025206664,False
82,1,1770458700.0,9998.665978418627,10000.091347353597,-0.00014253559147207363,False
83,1,1770459000.0,9998.617319124938,10000.091347353597,-0.00014740147639236414,False
84,1,1770459300.0,9998.485499759823,10000.091347353597,-0.0001605832924914632,False
85,1,1770459600.0,9998.615660920117,10000.091347353597,-0.00014756729535975868,False
86,1,1770459900.0,9998.525803467646,10000.091347353597,-0.00015655295852518602,False
87,1,1770460200.0,9998.245106425518,10000.091347353597,-0.00018462240633100265,False
88,1,1770460500.0,9997.965725497923,10000.091347353597,-0.00021256024388579124,False
89,1,1770460800.0,9998.207265050136,10000.091347353597,-0.00018840650930246477,False
90,1,1770461100.0,9998.152909272927,10000.091347353597,-0.00019384203737124548,False
91,1,1770461400.0,9998.422350556772,10000.091347353597,-0.00016689815511202233,False
92,1,1770461700.0,9998.493544305225,10000.091347353597,-0.00015977884529964548,False
93,1,1770462000.0,9998.585080633547,10000.091347353597,-0.00015062529608269158,False
94,1,1770462300.0,9998.556819731277,10000.091347353597,-0.0001534513604944042,False
95,1,1770462600.0,9998.335670319419,10000.091347353597,-0.00017556609966794205,False
96,1,1770462900.0,9998.47413508127,10000.091347353597,-0.0001617197499656195,False
97,1,1770463200.0,9998.225222843254,10000.091347353597,-0.00018661074639452342,False
98,1,1770463500.0,9998.257885954521,10000.091347353597,-0.00018334446510438477,False
99,1,1770463800.0,9998.390102865485,10000.091347353597,-0.00017012289478348904,False
100,1,1770464100.0,9998.230053145422,10000.091347353597,-0.00018612772058998063,False
101,1,1770464400.0,9998.220281325766,10000.091347353597,-0.00018710489362933603,False
102,1,1770464700.0,9998.24965359465,10000.091347353597,-0.00018416769357149229,False
103,1,1770465000.0,9998.298284328563,10000.091347353597,-0.00017930466460273174,False
104,1,1770465300.0,9998.515652298987,10000.091347353597,-0.000157568066118339,False
105,1,1770465600.0,9999.068266888964,10000.091347353597,-0.00010230711191486576,False
106,1,1770465900.0,9999.585311201652,10000.091347353597,-5.0603152948039416e-05,False
107,1,1770466200.0,9999.647483938756,10000.091347353597,-4.4385936030316864e-05,False
108,1,1770466500.0,10000.592469184223,10000.592469184223,0.0,False
109,1,1770466800.0,10000.149723989158,10000.592469184223,-4.427189653306491e-05,False
110,1,1770467100.0,10000.176455097755,10000.592469184223,-4.159894403754012e-05,False
111,1,1770467400.0,10000.405811721825,10000.592469184223,-1.866464041739341e-05,False
112,1,1770467700.0,10000.163138117608,10000.592469184223,-4.2930563157866285e-05,False
113,1,1770468000.0,10000.040932633097,10000.592469184223,-5.515038762203728e-05,False
114,1,1770468300.0,10000.207405124,10000.592469184223,-3.850412477157652e-05,False
115,1,1770468600.0,9999.890889235196,10000.592469184223,-7.015383850398226e-05,False
116,1,1770468900.0,10000.065490917266,10000.592469184223,-5.269470469678711e-05,False
117,1,1770469200.0,10000.141675067753,10000.592469184223,-4.5076740989024486e-05,False
118,1,1770469500.0,10000.069840153037,10000.592469184223,-5.2259806886056216e-05,False
119,1,1770469800.0,9999.874273523355,10000.592469184223,-7.181531125085512e-05,False
120,1,1770470100.0,10000.004623285839,10000.592469184223,-5.8781107238967664e-05,False
121,1,1770470400.0,10000.002802342118,10000.592469184223,-5.896319082310681e-05,False
122,1,1770470700.0,10000.002494407612,10000.592469184223,-5.899398244940326e-05,False
123,1,1770471000.0,9999.736985982086,10000.592469184223,-8.55432520395632e-05,False
124,1,1770471300.0,9999.421936508119,10000.592469184223,-0.00011704633297584887,False
125,1,1770471600.0,9999.545040138968,10000.592469184223,-0.00010473669919880978,False
126,1,1770471900.0,9999.76262525448,10000.592469184223,-8.297947669603543e-05,False
127,1,1770472200.0,9999.775144454803,10000.592469184223,-8.172763083170844e-05,False
128,1,1770472500.0,9999.872134020774,10000.592469184223,-7.202924883386113e-05,False
129,1,1770472800.0,9999.947828247663,10000.592469184223,-6.446027458335839e-05,False
130,1,1770473100.0,9999.96226422887,10000.592469184223,-6.301676198628166e-05,False
131,1,1770473400.0,9999.92486670709,10000.592469184223,-6.675629260869632e-05,False
132,1,1770473700.0,9999.929096868756,10000.592469184223,-6.633330150293757e-05,False
133,1,1770474000.0,10000.03503471684,10000.592469184223,-5.5740144306451044e-05,False
134,1,1770474300.0,9999.943075579726,10000.592469184223,-6.493551322066184e-05,False
135,1,1770474600.0,9999.80655367938,10000.592469184223,-7.858689445294584e-05,False
136,1,1770474900.0,9999.475465213925,10000.592469184223,-0.00011169377951750129,False
137,1,1770475200.0,9999.765846679074,10000.592469184223,-8.265735332137147e-05,False
138,1,1770475500.0,9999.248562250677,10000.592469184223,-0.00013438273159180808,False
139,1,1770475800.0,9999.398357596476,10000.592469184223,-0.00011940408445065946,False
140,1,1770476100.0,9999.446504451547,10000.592469184223,-0.00011458968418188581,False
141,1,1770476400.0,9999.885173042117,10000.592469184223,-7.072542394711763e-05,False
142,1,1770476700.0,10000.037016858252,10000.592469184223,-5.5541941908167865e-05,False
143,1,1770477000.0,10000.156526279654,10000.592469184223,-4.359170778253979e-05,False
144,1,1770477300.0,10000.159408046076,10000.592469184223,-4.3303548212862965e-05,False
145,1,1770477600.0,10000.486457376008,10000.592469184223,-1.0600552771419106e-05,False
146,1,1770477900.0,10000.433063874292,10000.592469184223,-1.5939586621677945e-05,False
147,1,1770478200.0,10000.632385791916,10000.632385791916,0.0,False
148,1,1770478500.0,10000.58801104548,10000.632385791916,-4.437194041753783e-06,False
149,1,1770478800.0,10000.420600963513,10000.632385791916,-2.117714362785807e-05,False
150,1,1770479100.0,10000.454310956697,10000.632385791916,-1.7806357473190502e-05,False
151,1,1770479400.0,10000.422255973679,10000.632385791916,-2.1011653076609433e-05,False
152,1,1770479700.0,10000.554062761248,10000.632385791916,-7.831807794391463e-06,False
153,1,1770480000.0,10000.55448188304,10000.632385791916,-7.789898265468544e-06,False
154,1,1770480300.0,10001.262854160435,10001.262854160435,0.0,False
155,1,1770480600.0,10001.521841594527,10001.521841594527,0.0,False
156,1,1770480900.0,10001.537147365088,10001.537147365088,0.0,False
157,1,1770481200.0,10001.62778769169,10001.62778769169,0.0,False
158,1,1770481500.0,10001.547789377088,10001.62778769169,-7.998529469474043e-06,False
159,1,1770481800.0,10001.60093558598,10001.62778769169,-2.684773546828776e-06,False
160,1,1770482100.0,10001.739666527987,10001.739666527987,0.0,False
161,1,1770482400.0,10001.670303575273,10001.739666527987,-6.935088797222375e-06,False
162,1,1770482700.0,10001.555690885296,10001.739666527987,-1.8394364263089944e-05,False
163,1,1770483000.0,10001.566686910423,10001.739666527987,-1.7294953011326715e-05,False
164,1,1770483300.0,10001.521940061777,10001.739666527987,-2.1768859565323123e-05,False
165,1,1770483600.0,10001.56002581742,10001.739666527987,-1.7960946450932144e-05,False
166,1,1770483900.0,10001.347816120535,10001.739666527987,-3.917822504050552e-05,False
167,1,1770484200.0,10001.294220490092,10001.739666527987,-4.453685586173216e-05,False
168,1,1770484500.0,10001.49261529661,10001.739666527987,-2.4700826017549903e-05,False
169,1,1770484800.0,10001.51621247216,10001.739666527987,-2.2341518903483948e-05,False
170,1,1770485100.0,10001.658151755551,10001.739666527987,-8.150059404963665e-06,False
171,1,1770485400.0,10001.531901104043,10001.739666527987,-2.0772928597521404e-05,False
172,1,1770485700.0,10001.943966768991,10001.943966768991,0.0,False
173,1,1770486000.0,10001.844326370887,10001.943966768991,-9.962103210679326e-06,False
174,1,1770486300.0,10001.836373338338,10001.943966768991,-1.0757251891344856e-05,False
